Date,Open,High,Low,Close,Volumne
7/16/2010 10:46:00 AM,580.63,583.67,577.11,583,1725100
7/16/2010 10:44:00 AM,572,582.46,570.97,579.76,1384600
7/16/2010 10:42:00 AM,586.41,587.06,582.69,585.74,1461200
7/16/2010 10:40:00 AM,582.52,584.29,576.54,583.09,1605200
7/16/2010 10:38:00 AM,576.49,586.6,575.86,582.35,2547500
7/16/2010 10:36:00 AM,569.5,571.6,569.4,569.96,2006200
7/16/2010 10:34:00 AM,573.77,574,570,572.99,2168000
7/16/2010 10:32:00 AM,576.65,578.78,572.07,576.65,1549600
7/16/2010 10:30:00 AM,574.87,577.5,573.72,577.49,1916700
7/16/2010 10:28:00 AM,575,576.99,572.78,576.28,2199200
7/16/2010 10:26:00 AM,569.29,572.51,566.61,572.05,1666800
7/16/2010 10:24:00 AM,569.56,572.9,565.5,567.85,1886300
7/16/2010 10:22:00 AM,570.48,573.5,565.86,570.56,2319700
7/16/2010 10:20:00 AM,562.73,568.78,562,566.76,2230800
7/16/2010 10:18:00 AM,555.45,562.58,554.23,562.51,2649900
7/16/2010 10:16:00 AM,547.72,551.78,545.5,551.1,1826700
7/16/2010 10:14:00 AM,543.49,549.77,542.66,548.65,1847700
7/16/2010 10:12:00 AM,540.8,545.5,536.42,540.33,2332700
7/16/2010 10:10:00 AM,530.01,537.5,528.3,537.29,2380200
7/16/2010 10:08:00 AM,537.08,539.46,528.24,533.99,3202100
7/16/2010 10:06:00 AM,550,550.17,534.24,536.12,3468500
7/16/2010 10:04:00 AM,543.01,551.83,541,551.05,2522600
7/16/2010 10:02:00 AM,547.87,550,538.25,540.3,2567800
7/16/2010 10:00:00 AM,550.97,554.56,544.16,548.29,3216500
7/16/2010 9:58:00 AM,555.75,561.64,550.89,554.21,2970400
7/16/2010 9:56:00 AM,555.25,557.89,551.2,553.69,2392700
7/16/2010 9:54:00 AM,550,555,548,554.09,2336500
7/16/2010 9:52:00 AM,549.91,559.35,549,551.1,3670600
7/16/2010 9:50:00 AM,551.64,552.95,540.7,551.72,4043700
