Date,Open,High,Low,Close,Volume,Adj Close
4/12/2010,567.35,574,566.22,572.73,2352400,572.73
4/9/2010,567.49,568.77,564,566.22,2056600,566.22
4/8/2010,563.32,569.85,560.05,567.49,1947500,567.49
4/7/2010,567.3,568.75,561.86,563.54,2581000,563.54
4/6/2010,569.46,570.89,565.4,568.22,2060100,568.22
4/5/2010,570.9,574.88,569,571.01,1901500,571.01
4/1/2010,571.35,573.45,565.55,568.8,2102700,568.8
3/31/2010,565.05,569.74,562.81,567.12,3030800,567.12
3/30/2010,562.83,567.63,560.28,566.71,1977900,566.71
3/29/2010,563,564.72,560.57,562.45,3104500,562.45
3/26/2010,565.27,567.39,560.02,562.69,2696200,562.69
3/25/2010,559.02,572,558.66,562.88,3930900,562.88
3/24/2010,545.51,559.85,539.7,557.33,6565200,557.33
3/23/2010,557.04,558.31,542,549,5501300,549
3/22/2010,556.11,566.85,554.28,557.5,4004800,557.5
3/19/2010,566.23,568,557.28,560,4792400,560
3/18/2010,564.72,568.44,562.96,566.4,1777200,566.4
3/17/2010,568.3,571.45,564.25,565.56,3321600,565.56
3/16/2010,561.83,568.42,560.76,565.2,3431500,565.2
3/15/2010,566.68,569.45,556,563.18,4653900,563.18
3/12/2010,588.14,588.28,579.16,579.54,2753400,579.54
3/11/2010,574.26,586.21,574.2,581.14,4233300,581.14
3/10/2010,563.76,578.5,562.21,576.45,5654900,576.45
3/9/2010,559.85,564.66,556.5,560.19,3176600,560.19
3/8/2010,564.78,565.18,561.01,562.48,2386400,562.48
3/5/2010,561.35,567.67,559.9,564.21,3912200,564.21
3/4/2010,546.5,556.13,546.2,554.59,3183800,554.59
3/3/2010,542.36,548.12,539.25,545.32,3089400,545.32
3/2/2010,535.48,545.66,535.01,541.06,4356800,541.06
3/1/2010,529.2,533.29,527.74,532.69,2237900,532.69
2/26/2010,527.42,531.75,523.48,526.8,2049300,526.8
2/25/2010,527.12,528.49,520,526.43,3309200,526.43
2/24/2010,533.98,538.44,530.51,531.47,2326600,531.47
2/23/2010,543,543.63,532.29,535.07,2872600,535.07
2/22/2010,547.35,547.5,541,542.8,2144600,542.8
2/19/2010,540.53,544.03,539.7,540.76,2553100,540.76
2/18/2010,537.54,545.01,536.14,543.22,2336900,543.22
2/17/2010,542,543.4,537.61,538.21,2029700,538.21
2/16/2010,536.87,544.13,534.3,541.3,3654400,541.3
2/12/2010,532.97,537.15,530.5,533.12,2279700,533.12
2/11/2010,533.32,540.49,529.5,536.4,2410000,536.4
2/10/2010,534.07,537.79,527.69,534.45,2674500,534.45
2/9/2010,539.54,541.53,535.07,536.44,2819600,536.44
2/8/2010,532.5,542,531.53,533.47,2694300,533.47
2/5/2010,528.4,533.5,522.46,531.29,3156000,531.29
2/4/2010,537,538,525.56,526.78,3377700,526.78
2/3/2010,528.67,542.1,528.23,540.82,2999100,540.82
2/2/2010,534.96,534.96,527.61,531.12,4096200,531.12
2/1/2010,534.6,535.81,530.3,533.02,2250800,533.02
1/29/2010,538.49,540.99,525.61,529.94,4140500,529.94
1/28/2010,544.49,547,530.6,534.29,3229100,534.29
1/27/2010,541.27,547.65,535.31,542.1,3964400,542.1
1/26/2010,537.97,549.6,536.29,542.42,4355500,542.42
1/25/2010,546.59,549.88,535.51,540,4419900,540
1/22/2010,564.5,570.6,534.86,550.01,6800400,550.01
1/21/2010,583.44,586.82,572.25,582.98,6307700,582.98
1/20/2010,585.98,585.98,575.29,580.41,3250700,580.41
1/19/2010,581.2,590.42,576.29,587.62,4316700,587.62
1/15/2010,593.34,593.56,578.04,580,5434500,580
1/14/2010,583.9,594.2,582.81,589.85,4240100,589.85
1/13/2010,576.49,588.38,573.9,587.09,6496600,587.09
1/12/2010,597.65,598.16,588,590.48,4853300,590.48
1/11/2010,604.46,604.46,594.04,601.11,7212900,601.11
1/8/2010,592,603.25,589.11,602.02,4724300,602.02
1/7/2010,609.4,610,592.65,594.1,6414300,594.1
1/6/2010,625.86,625.86,606.36,608.26,3978700,608.26
1/5/2010,627.18,627.84,621.54,623.99,3004700,623.99
1/4/2010,626.95,629.51,624.24,626.75,1956200,626.75
12/31/2009,624.75,625.4,619.98,619.98,1219800,619.98
12/30/2009,618.5,622.73,618.01,622.73,1465600,622.73
12/29/2009,624.74,624.84,618.29,619.4,1424800,619.4
12/28/2009,621.66,625.99,618.48,622.87,1697900,622.87
12/24/2009,612.93,619.52,612.27,618.48,858700,618.48
12/23/2009,603.5,612.87,602.85,611.68,2072700,611.68
12/22/2009,601.34,601.5,598.85,601.12,1880800,601.12
12/21/2009,597.61,599.84,595.67,598.68,2571200,598.68
12/18/2009,596.03,598.93,595,596.42,3531500,596.42
12/17/2009,596.44,597.64,593.76,593.94,2638800,593.94
12/16/2009,598.6,600.37,596.64,597.76,2809400,597.76
12/15/2009,593.3,596.38,590.99,593.14,2280400,593.14
12/14/2009,595.35,597.31,592.61,595.73,1913400,595.73
12/11/2009,594.68,594.75,587.73,590.51,1720000,590.51
12/10/2009,590.44,594.71,590.41,591.5,1668300,591.5
12/9/2009,587.5,589.33,583.58,589.02,1781000,589.02
12/8/2009,583.5,590.66,582,587.05,1524000,587.05
12/7/2009,584.21,588.69,581,586.25,1636200,586.25
12/4/2009,593.02,594.83,579.18,585.01,2513600,585.01
12/3/2009,589.04,591.45,585,585.74,1428700,585.74
12/2/2009,591,593.01,586.22,587.51,1663200,587.51
12/1/2009,588.13,591.22,583,589.87,2320300,589.87
11/30/2009,580.63,583.67,577.11,583,1725100,583
11/27/2009,572,582.46,570.97,579.76,1384600,579.76
11/25/2009,586.41,587.06,582.69,585.74,1461200,585.74
11/24/2009,582.52,584.29,576.54,583.09,1605200,583.09
11/23/2009,576.49,586.6,575.86,582.35,2547500,582.35
11/20/2009,569.5,571.6,569.4,569.96,2006200,569.96
11/19/2009,573.77,574,570,572.99,2168000,572.99
11/18/2009,576.65,578.78,572.07,576.65,1549600,576.65
11/17/2009,574.87,577.5,573.72,577.49,1916700,577.49
11/16/2009,575,576.99,572.78,576.28,2199200,576.28
11/13/2009,569.29,572.51,566.61,572.05,1666800,572.05
11/12/2009,569.56,572.9,565.5,567.85,1886300,567.85
11/11/2009,570.48,573.5,565.86,570.56,2319700,570.56
11/10/2009,562.73,568.78,562,566.76,2230800,566.76
11/9/2009,555.45,562.58,554.23,562.51,2649900,562.51
11/6/2009,547.72,551.78,545.5,551.1,1826700,551.1
11/5/2009,543.49,549.77,542.66,548.65,1847700,548.65
11/4/2009,540.8,545.5,536.42,540.33,2332700,540.33
11/3/2009,530.01,537.5,528.3,537.29,2380200,537.29
11/2/2009,537.08,539.46,528.24,533.99,3202100,533.99
10/30/2009,550,550.17,534.24,536.12,3468500,536.12
10/29/2009,543.01,551.83,541,551.05,2522600,551.05
10/28/2009,547.87,550,538.25,540.3,2567800,540.3
10/27/2009,550.97,554.56,544.16,548.29,3216500,548.29
10/26/2009,555.75,561.64,550.89,554.21,2970400,554.21
10/23/2009,555.25,557.89,551.2,553.69,2392700,553.69
10/22/2009,550,555,548,554.09,2336500,554.09
10/21/2009,549.91,559.35,549,551.1,3670600,551.1
10/20/2009,551.64,552.95,540.7,551.72,4043700,551.72
10/19/2009,552.69,553.6,548.73,552.09,3217900,552.09
10/16/2009,547.33,554.75,544.53,549.85,8841900,549.85
10/15/2009,533.75,536.9,527.27,529.91,6100400,529.91
10/14/2009,532.46,535.58,530,535.32,3258400,535.32
10/13/2009,524.39,527.46,521.38,526.11,3037400,526.11
10/12/2009,523.42,525.76,519.32,524.04,3322200,524.04
10/9/2009,516.65,521.51,514.5,516.25,2738100,516.25
10/8/2009,519.57,523.25,513.34,514.18,4303800,514.18
10/7/2009,499,518.99,497.81,517.54,4874200,517.54
10/6/2009,491.7,499.37,491.7,498.74,2732300,498.74
10/5/2009,487.65,492.43,483.34,488.52,2144600,488.52
10/2/2009,483.74,491.74,482.6,484.58,2600800,484.58
10/1/2009,493,496.47,487,487.2,2813200,487.2
9/30/2009,500,500.14,487.24,495.85,3141700,495.85
